,comment,Label
12, Worst experience. So many hidden fees. Had to pay expensive fines for problems that was not my mistake. Rude staff and not comfortable flight.,negative
13,"Ryanair puts profits above people. I have over half the symptoms of covid, contacted them to try and cancel my flight and they told me there are no refunds under any circumstances. They want me to fly today and potentially infect other people so they don't have to refund me $165. This company, worth almost 26 billion dollars, wants me to fly today potentially with covid so they don't have to refund me.",negative
14,"Beware of the latest scam - 3rd party services booked on the Ryanair website: I was flying from London to Malaga and, when I purchased extra hold luggage the day before I flew, I decided to, at the same time, also buy a ticket for National Express from Victoria coach station to Stansted airport. I did so and paid one amount on my credit card, but I received no confirmation of the National Express booking, so I called NE and they had no record of my booking or payment. I did so again the next morning - still no record, so I had to buy the ticket again at a higher price. I tried to call Ryanair, but could not get through to them, nor had any success with their ""live"" chat. After arriving in Malaga I tried to get a refund from Ryanair, whom I had paid, but they said that I needed to get this from NE and that it had nothing to do with them as NE were a third party service provider. All my explanations that I had paid Ryanair and NOT NE were ignored. So I called NE again and they still said that they had no record of the reservation or payment, so I had to make a claim against my credit card company for a refund. All this took several hours of my time and was incredibly stressful. It was a relatively small amount, but I was incensed by Ryanair's approach and determined to get my money back. They are truly shocking in their customer service.  Only fly with them if there is NO alternative, even if other airlines are more expensive. Only buy the most basic/cheapest ticket and only upgrade or buy extras (seat choice, hold luggage, food, etc) as late as possible and just before your flight - in case there is a change of plan or cancellation, then your refund amount is much lower. Never purchase 3rd party services from their website - car rental, coach travel, hotels, etc. If there is a problem then they will screw you. I hope that this will help others to not make the same mistake in future",negative
15,"This airline is worse than any cheap airline in the US. They make their money for sure by us having to pay a lot of money on bags. I ended up paying nearly $500 going from Madrid to Rome and back which was nearly 3 times what I paid for the ticket. Mind you, this was a bag that only weighed 26kg which was almost 60lbs. No food or drinks served on the aircraft for free. Terrible service at the check in and terrible service on the plane.",negative
16,"2 hour wait in line, problems with online check-in, paid 275 euro check-in fee despite technical difficulties on website and was told to ask for a refund. When I asked for a refund I was repeatedly told that I should have chatted with support instead of asking for help at the airport. Extremely unhelpful, rude, and takes advantage of customers in the stressful hours before their flight. Worst flight ever, won't fly Ryanair again.",negative
17,The flight from Poznan to Birmingham was most enjoyable flight. We fly 3-4 times a month but never received service like this.,positive
18,"Let me make it short. Near on time departure early arrival. Super friendly check in as security staff at Charleroi airport (love Belgian hospitality). Fantastic crew on airplane giving very professional service so much so that one of the ladies airline stewardesses took care of a baby while her mother went to the restrooms. Perfect service for a very cheap price, Ryanair I am a very satisfied customer.",positive
19,Departure delayed for 45 minutes. Flight returned after 10 minutes to Stockholm due to a technical issue. Long queues at both the check-in counter and baggage check. Far-away terminal (Terminal 5 at Stockholm for departure). Aircraft not from Ryanair.,negative
20,"We are originally from Singapore & arrived in Frankfurt on Dec 15, 2021. We had booked a Ryanair flight to travel from Frankfurt to Catania on Dec 17, however, on Dec 16 we received news that the Italian govt has imposed an entry restriction on leisure travelers who had been in Singapore within the last 14 days. Since we suddenly became unable to enter Italy, we had to remain in Germany for the rest of Dec & cancel our trip to Catania. We tried to cancel our Ryanair tickets for flight FR 1558 and request for a refund for 321.96 € on Dec 16 but to no avail. We are very disappointed and what’s worse is I was told by Ryanair that its refund policy does not cater for flights that are not cancelled by the airline but I could pay 180 € to change my tickets before the flight took off on Dec 17. Since we will not be in Europe after Dec to use the new tickets, a refund would be the only feasible option. It has been extremely troubling & thoroughly stressful for us since Ryanair wouldn’t try to help us with the refund.",negative
21, Ryanair refuse to give a refund or voucher for not being able to fly due to Covid. They say they have a fare change system in place but you end up paying more than just buying new flights. They are incentivising people to travel with Covid and something should be done to stop them. I had already booked future flights with them but I will be boycotting them from now on.,negative
22,"Following the confinement, I asked to cancel my flight since we no longer have the right to travel. Ryanair refused to exchange my flight for a voucher or refund. This is not supposedly their problem.  Suite au confinement, j'ai demander a annuler mon vol vu que nous n'avons plus le droit de voyager. La compagnie Ryanair a refusé d’échanger mon vol en bon d'achat ou remboursement. Ce n'est soit disant pas leur problème.",negative
23," Very poor customer service, low interpersonal skills. It is very important to pay attention to your luggage. Trying to cheat on the size of the suitcase to get more money.",negative
24," The passenger behind refused to wear mask for entire flight. Their actions endangered everyone on the flight, passengers, attendants and pilots. The staff repeatedly told the passenger follow health guidelines and they refused. Do not fly with company. Your personal health and safe is not a priority with this company. This company obviously puts profits before the health and welfare of its staff and clients. I will never fly with this airline. Why, we’re passenger aloud to Jeopardize the health of the flight? Why were the authorities not informed, and had these passengers charged and fined? These passengers should be put on the do not fly list and never allowed to fly with Ryanair again. The health and welfare of passenger should be the first priority and it obviously that did not happen. Word of caution, choose any other airline but this one.",negative
25,"There is no word in the English language that can fully describe how bad this airline is. I’ve had my shares of bad experience with Ryanair but always thought “Well, my bad I should have been more prepared I guess” or “they are probably having a bad day, cut them some slack” etc. But if you’re going to be aggressive and verbally abusive to two senior travelers, then we’re going to have a real problem. Even more if the seniors in question are my parents who have a limited knowledge of English. My parents came to visit us this weekend. They arrived in London fully prepared, vaccinated, passports, forms, VeriFly app literally everything that was required and asked of them. They flew in with BA at Heathrow and everything went smoothly (take some notes Stansted!). Then we prepared their return journey and they made sure to book 2 handbags (that’s how it works now you have to pay for handbags too). So, prior to the trip they booked two ‘less than 10 kg handbags’ on the agency’s website which gave them also the right to priority board (something they were not aware of). They actually waited and queued until it was time to board and once in front of the person at the desk were asked to pay £90 for the two bags. My dad tried to explain he already paid for it, but she didn’t want to hear it, she laughed to their faces because they tried to explain themselves with the few English words they know, and then she realized that my dad speaks Spanish (apparently, she did too) so they managed to understand each other to some extent. She lost patience and told my parents it was either they paid for the bags, or they had to leave them behind. Scared and tired by the situation they decided to pay and after they got the confirmation and the sticky tag on their bags asked if they could get an invoice or receipt. The lady said she didn’t have it and that they will receive it by email. However never confirmed it with my dad and asked them to quickly move towards the plane and embark. Then someone - I'm guessing who's a security person - yelled at them in the corridor in English (remember a language they don't understand) and kept screaming and shouting at them for a good minute without thinking they might not be able to understand his language. Literally no patience, no kindness, no respect. My parents managed to connect the dots and gathered that he wanted them to leave the bags outside the plane (remember small handbags less than 10 kg) they pointed a corner to him, and he let out some kind of agreeing grunt. Then once on board they probably were thinking they could finally relax, but no, once again someone with a lot of empathy and sympathy decided otherwise. The hostess that day kept asking my mum to remove her jacket, and put it up in the overhead bin, then underneath the seat, then finally take it back and put it on her knees because it wasn’t right, and every 5 minutes came back to check if she was ""cooperating"" because she also asked my mum to remove her scarf and for some reason it needed to be left with the jacket. What is wrong in your head? When a lady of a certain age is cold, you pressure her into removing her clothes? First, I don’t get what the security hazard is with a scarf. Second, it’s literally freezing outside, and we know how cold it can be inside the plane before take-off, also ever heard of covid. I mean come on. I'm curious to know if they provide the same type of care to all their passengers.",negative
26,"I wish I could rate as -1000! Numerous times extra fees, uncomfortable seat, terrible customer service (I don’t even know if it does exist). Ryanair ruined my holiday trip. I've never been so disrespected in my whole life. Feel like I was robbed.",negative
27,"This morning with priority we arrived on the front of the queue and there was this lady who said we were not allowed to go on board because we needed a PCR test and she asked us to book another flight. We showed her our full vaccination, boarding pass, day 2 lateral flow test and she said she was sure we needed a PCR test. We asked to check it and then she said we were good to go.",negative
28,I flew from Prestwick to Arrecife on 20/11/2020. Ground staff very friendly and helpful. The cabin crew were excellent. Really efficient providing a fantastic onboard service all with a smile and couldn't do enough.,positive
29,"Well, when a client asks for a glass of water to take his medicine and you say ""no""...say no more. Customer service on the web - also from the worst I have ever seen! Didn't help at all, and didn't try to even look like they are trying to! And advertising 5 euros flights to end up with 100 per a lousy destination. Overall - Abysmal experience! Starting from the ticket purchase straight to the flight to Paphos and back home. And the charging money for almost every step the client takes, really no words left.",negative
30,"They are fraudsters. Don’t let their stated prices misguide you: they will charge you at least 3x or 4x the amount. And not only because they don’t mention numerous additional fees, which alone cost much more than the stated ticket price. They will also try to charge you for services that you did not buy. I really cannot understand, what kind of a company can have a single priority: to cheat on their customers, to fool and deceive them. But that’s Ryanair! The feeling of being a victim of an air company’s fraudulent manipulations is awful, it’s like when someone steals your wallet. So, my advice - don’t let such things spoil your journey and choose a more honest and decent company instead. Also, the staff were very rude and unprofessional, but comparing to financial fraud they practice, it does not seem that big.",negative
32," I was quite apprehensive about booking with Ryanair having read many poor reviews, so, I read and reread the booking site until I understood what was required. The booking process was simple and easy to follow and I completed it without problems. There was a flight time change which was notified by email. On the days of travel both flights were on time, both staffed by pleasant and efficient cabin crew. The cabin was clean and Covid rules were followed. The seats were OK for short haul flights but hard. We used neither catering or duty free purchasing.We had an enjoyable experience and have no complaints. We will certainly do it again.",positive
33,"As I was unable to do an online check-in because of the mistake at their end, the website was not sending one time code for verification. They charged us 55 euros per ticket for check in at the check in counter and when asked about their mistake they said it does not matter if our website was not able to send you a code., we can not do anything about it. This is just a way to rob common people even if the mistake was at their end.",negative
34,"There were 2 flights one after the other (as I discovered later) at the same gate in a far corridor without speakers. I was at the gate one hour before a few meters from the desk, in the photo you can see how close I was. I had other people around me waiting for the next flight so I was not aware the gate closed. My name was automatically called in the airport but not in that corridor and the very unfriendly employee didn't say a word like ""the gate is closing any other passenger?"", not a word. When I got aware he simply repeated ""the gate is closed"" without neither watching me in the face or answering to any further question.",negative
35,"I have been forced to pay an extra of 45(ish)€ at the gate for the same hand luggage that I brought for free 4 days ago. All the staff at the gate were stating that I had no right to bring a hand luggage with me, and they kept denying it even though I showed them that on Ryanair's website it is written that 1 hand luggage is always included. Not recommended all, I will never take a Ryanair flight anymore.",negative
36," In a covid world the cabin was disgusting, it does not look like things have been cleaned enough or to a good enough standard. As soon as we got to our seats there were marks and when opening the food tray it was absolutely disgusting with splash marks all over it.",negative
37,"Our flight from Crete to Athens started off with online check-in issues. We followed the prompts, but there was no option for check in, only to cancel or change flight. We even watched a video but never was presented with a check in option on the mobile website. When we arrived at the airport, we spoke to one of the employees at the bag check line, and explained to her our issue with online check in. She offered no help or advice, only said there is nothing for her to do and that we must pay €55 each to print our tickets or we could speak to her coworker at a Skyserv help desk. We proceeded to the alternate employee at the Skyserv booth and once again explained our troubles with online check in. We even showed her the step by step process in which we tried to check in on our mobile phone. She started to raise her voice and said “I don’t know why you’re the only people having an issue. Other customers don’t have this issue. It’s clearly something you did wrong!” Instead of providing us with actual help and presenting a fix to the issue that we physically showed her on the phone, she was dismissive, blaming us, and outright rude. When we wished to escalate the matter, she refused to tell us her name and began acting even more erratic. She stated that “Ryanair will know who I am and I don’t have to give you any information.” At this point we were forced into making one of two decisions - miss our flight or pay €55 for each boarding pass. Extremely unsatisfied with the lack of help, we returned to the bag check desk, and decided to go ahead with the payment. At our second interaction with the bag check staff, we were informed that the price per boarding pass is now €62.50! We showed them the Ryanair email that said it was €55 and explained to said staff that she told us ten minutes prior that it was a €55 fee. The employee told us to look at her screen if we have an issue, because that’s what it says and she could give no explanation for the discrepancy in Ryanair email or what we were previously told. At this point we were uncomfortably coerced into choosing to either miss our flight or pay this new arbitrary price that no employee could give an explanation for. No one can explain to us why we were unable to check in online and no one can explain to us why there was an increase in price after this entire debacle. Fast forward two months after this incident and multiple complaints to Ryanair, they finally responded with again no resolution. A representative from Ryanair emailed stating, ""At first, I would like to express our sympathy regarding the circumstances resulting in you being unable to have done the check-in online. However, if a customer does not manage to check-in online then an airport check-in fee of €55/£55 per person is applied."" This acknowledges our inability to check-in, but somehow still place the blame on the customer. When questioned about why we were arbitrary told to pay €62.50 by the bag check staff when Ryanair and this representative's email clearly stated €55, another rep responded back with, ""Unfortunately, as per the previous responses you have received, our standpoint remains unaltered that means according to our agreed Terms and Conditions Article 10.1 all monies paid towards Ryanair are non-refundable."" So again no explanation. It really feels like a ""you have to pay whatever amount we tell you or you get to miss your flight"" situation. Ryanair is all about customers' dollars but not customer service!",negative
38,"Arrived at the gate in good time at stansted and the crew at the gate told me off for arriving when they had only just called final boarding. Told my husband they were lucky they were letting him on the flight. The flight was ok out, until one of the crew shouted at the man next to me whose small washbag had broken and was trying not to drop things out of it as he was putting it in the overhead locker. Arrived with all documentation, getting my PLF form sorted to show the gate on my phone and was asked if I’d had a Covid test (this was Italy now trying to return) all paperwork complete and was told not to bother showing my PLF as needed a Covid test and wasn’t allowed to board. We are fully vaccinated and have our day 2 tests ordered. Still refused boarding, despite saying we didn’t need them but he wouldn’t/couldn’t speak English. Took a taxi (€60) to get a test (€30) & bought tickets @ €270. We don’t need a Covid test, should have been allowed on our flight and as Ciampino airport closes overnight we are being made to sleep in the street. Well done Ryanair, great customer service and care for customers yet again. I am standing outside the airport now can hoping for a dry night as this will be where I will be.",negative
41,"First time travelling since pre COVID and thought I could check in at the desk with my bag. I was fined £55. No complaints but it would have been good to get a warning via email, also the employee checking me in at Bristol was incredibly rude and aggressive, no pls or thanks when taking my cash. Return leg I had already paid £70 for a checked bag booked via skyscanner. On the way back, the app was trying to charge me for a bag as I checked in. When I got to the airport, I was informed that I was to be charged €60 to check the bag in. Both staff dealt with were incredibly rude, offered no apologies and said it wasn’t their problem as I had booked on a third party website. When I complained that I had already paid for my bag, they threatened to cancel my flight. Zero customer service, £130 paid for a bag; and why do Ryanair use Skyscanner and other websites if you should only book on their website as their employees told me at Knock?",negative
43,"Ryanair does not have any respect for the customers and are just a money seeking airline. They do not see the mistakes of their own, but of the customers only. From check-in to security check up until getting on the flight it was full of chaos. Although we had plenty of time left, we had to be in a hurry but at the end we, us ourselves, found out that the plane was delayed. They did not make a single announcement about the delay, or sorry for the inconvenience. All they did was sit and do nothing. Thanks for ruining my trip to London. They charge you 3 euros for a bottle of water. Due to the run I had to make to the gate, because they had their problem, I needed water, but no! It's Ryanair, they will charge you for every single penny. I hope they fix their problems for other future customers.",negative
44,"I did a COVID test in Italy, they gave me the result in Italian, as I was in Italy I couldn’t imagine that the result had to be in English too, on boarding they didn’t me allow to get to the plane and told me to talk with their staff at check in and to do another test at the pharmacy. I spoke with them and they told me I had to pay 200 euros to fly in another flight because my flight had 30 min to departure. The worst airline in the UK. I had a test that was not in in English but anyone can read that it was negative, what’s the difficulty for an Italian born to read it?",negative
45," Coming back from Corfu was a nightmare. I am not moaning about our flight being cancelled because that may have been out of Ryanair's hands but the fact that they did not help with anything after we were told that the flight was cancelled is unbelievable! We were told to book our own flights and find accommodation. We were offered no care packages which are promised if your flight was delayed, in fact we were offered no help at all. We tried all night to talk to Ryanair through their app which was a total waste of time because we were never connected. We didn't have any children with us but many people did and their accommodation and flights must of been astronomical to rebook. I can not believe how they just dismissed us from their minds. I will think twice before using them again and I will definitely not recommend them to anyone",negative
46,"Worst airline ever, I have travelled with this airline several times and what applies to a city doesn’t apply to another. It’s supposed to be considered a low cost airline but they look for every possible way to charge you, I had no trouble getting my suitcase on the flight in Madrid airport but they made me pay for it the Canary Islands, I arrived 2 minutes late for boarding today’s flight (28 minutes still for take off), a lady was just in front of me, they let her pass and didn’t let me, said they had already closed. 2 ladies stated that all flights close their doors 30 minutes before departure when we all know that’s a lie. They start boarding 30 minutes before departure. They were very rude and should not work in customer service, it is not meant for everyone.",negative
47,"Because we had 2 bags that were slightly bigger than the requirements, they charged us 92 euros. I had never had problems with that luggage as cabin baggage in other airlines.",negative
48,I hadn't been travelling for 2 years since covid. I used to travel a lot but always was flight 'sick'! I hate take-offs and landings and I think that the best take-offs I had in years was on my flight to London! It was smooth and neat! Pilots don't often get to be congratulated on their skills but I do believe that it takes a lot to ensure that the experience on the flight is seamless even with a couple of turbulences! So congrats to the crew for making me want to travel again despite my fears!,positive
49,"Delays may happens but behavior of Ryanair is not customer oriented. With 3 hours of delay they sent voucher for just 4 euro meal, available only in cafes outside the departure area. And the delay of the departure is declared 2 h and 55 minutes in order not to pay compensation as per EU rules that starts with 3 hours delay.",negative
50,"After you book your ticket its almost impossible to get Customer service. We called directly to a number in Germany a few times and got somebody a couple of times. On our outbound flight, they rebooked us on United because our original flights had some delays. But when we arrived at the airport, United has no record of our reservation and try as they might they can't reach Lufthansa either at 4pm in the afternoon. We got a flight later in the evening causing a Munich stopover instead of the original Frankfurt and then to Amsterdam. The experience was bad.  On our return from Amsterdam, it was a code share with Swiss Air through Zurich. That flight was overbooked and they told us we won't have seats. Swiss Air were equally unhelpful. We finally got onto KLM hours later, however there was no Lufthansa person to be found at the Airport or by Phone to help with this.",negative
51,"Booked an economy light fare which only included a very small 8kg carry on bag. I found it strange that a full service airline would even have that option but given the fare was not cheap I assumed service on board would make up for this. Boarding was slow and messy requiring passengers to queue to have their documents checked, then queue again to check our tickets, then queue again in the jet bridge. What is the point of assigning boarding groups when all but priority passengers are called to board at the same time? Seats in economy were akin to a budget airline with minimal legroom, no headrest or entertainment. Cabin was not clean, and crew handed out alcohol wipes. On both legs I took with Lufthansa there was no food or drink available, complimentary or paid. This was a 2 hour service right about lunchtime. Almost any other full service airline would have provided some sort of food service. It is already low cost carrier like to only have paid food services. To have no service at all is just pathetic for a 5 Star Airline. Crew were barely seen during the flight. To top it off the flight was delayed. Overall the flight was worse than ultra low cost carriers while charging more.",negative
52,The carry on limit of 8kg is insane when your baggage size meet carry on standard dimensions. I flew million miles with this bag without any issue but getting your bag registered at the gate because it’s exceed 8kg while small overhaul size is not convenient. No drink on board except water because of COVID measure that can be understandable in present context…,negative
53,"I bought a flight with Lufthansa choosing a seat at the front due to my left ankle being fractured, so I needed the additional time to make it between gates. The day of they bump me from 4C to 29C, no one at the Lufthansa counter even 40 minutes before scheduled boarding so I call their helpline. The person eventually sees what they did, and says they'll reinstate my seat. They said they were sending the email right then. I get off the call and surprise surprise no email and when I check online my seat assignment is still at the back of the plane. Eventually ten minutes before boarding two crew members are at the desk, I ask about the situation, they tell me there is one seat available but that ""it's impossible to move you"" even though the seat is 5D. Same class same price. How could this have been worse you might ask? The flight ended up being delayed outbound too so the short time I had got cut in half.",negative
54,"Frankfurt to Amman. The phone service is very bad, you can not get anyone answering the phone to adjust your ticket nor to add your pet to the ticket. The seats are not that comfortable compared to other airlines and the most important thing is that you do not get any food, drinks or beverages on Lufthansa flights which is unacceptable hence you pay a good amount of money for no service where other cheaper airlines are providing beverage services and even other services like entertainment tv, etc!",negative
56,"The worst flight I have taken in my 50 years of travel. The Crew were abrasive and disengaging, clearly service was not a priority. If you asked a question you received a surly blunt response. The aircraft was  extremely uncomfortable and offered old in-flight entertainment. The headsets we received needed to be manipulated to accommodate this older system. The food provided was pathetic - macaroni and cheese for Economy class.  It turned out to be overcooked white pasta with processed Parmesan cheese thrown in for good measure. The salad was at least real. The breakfast was a sugar cake muffin with three small pieces of pineapple chunks. When I asked if I had received the meal as perhaps this was for children, I was told no that was the economy class meal. I will not fly Lufthansa again and have gone out of my way to tell many of my colleagues family and friends about this horrendous experience.",negative
57,"Worst travel experience of my entire life. Flight delayed from London meant 80 people missed the connection from Germany to Cape Town. Instead of holding the flight 30 minutes, Lufthansa let 80 people miss it. I was stranded in Germany for the night and then sent to Istanbul and then to Cape Town. What should have been a 12 hour trip took 48 hours and I was one of the lucky people, others on my flight with young families were having less luck and sent on even longer journeys with layovers of 12+ house. My flight back has now also been delayed by 14 hours.",negative
58,Messy online checkin in Bogota which didn't allow to upload my vaccination certificate (it did on the outbound route) nor select/change seat. I was able though to change my seat after downloading the LH mobile app. The vaccination cert was requested / checked by 3 different staff at bag dropoff and boarding. Horrible food served  with overcooked vegetarian pasta served for mains on both outbound and inbound flights. IFE was mediocre with a very poor selection of films. The staff were brusque. Seat comfort poor. Used LH pre pandemic and the experience was much better.,negative
60,"A very mediocre experience. For a 13 hours flight, they provided passengers with a hot meal and a snack. The plane was dirty, my entertainment system worked once in a while. They charged us an additional 70 EUR for the seats but changed them offline. Their service in Mexico city is a joke and never answers calls.",negative
62,"Our flight had to make an emergency landing due to an unwell passenger which was understandable however what happened next made me never want to fly with Lufthansa again. Pilot said we could either rebook onto another flight or stay in a hotel while another flight is arranged for us. Upon departing the plane we were approached by a member of staff of Ankara airport who had no ties to Lufthansa. She provided a phone number to get in contact with Lufthansa should we want to rearrange a flight, this number did not work. After calling multiple Lufthansa numbers we were told different lies on every attempt as to why they couldn't rebook us onto a flight leaving in 2 hours. The best one was that our baggage hadn't been released by the airport when we in fact had the baggage in our hands. On 2 occasions the member of staff  we were speaking to just stopped replying to any questions or queries and seemed to have hung up. This all resulted in a substantial phone bill and a missed days work. After contacting them to offer the opportunity to reimburse the said phone bill as a good will gesture and reinvest some faith in this airline I was accused of demanding compensation.",negative
63,"On return leg (KRK to MUC to BOS), scheduled to leave KRK at 13.20 local time. Was told pilot didn't want to fly because of weather conditions (low clouds) but other aircraft departing no problem. Checked Flightaware.com which showed no arrival delays in MUC. No other information given. Was told I would not make the MUC to BOS flight so they canceled my whole itinerary and re-booked my travel to the next day. Was given hotel and meal voucher. Next day, departed KRK 20 minutes late and arrived MUC 20 minutes late. Only had an hour to transfer between terminal 2 and remote terminal in MUC. Ridiculous security screening just to get to the departure gate. My bags were searched 3 times at 3 check points. Woman in front of me made the flight. I got there 5 minutes later and they had closed the doors and refused to allow me on. I am sitting here in MUC as I write this looking at my plane still sitting at the departure gate nearly an hour after the scheduled departure time and I am furious. No excuse to strand me in MUC especially since the plane is departing late anyways.",negative
